序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分(類別),車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,0,16,臺中市,大甲區,0,0,0,8,,,50,,,,,,,,,,,,,,,19,,,,,B03,,,1,,1,,,19,,1,22,,B03,120.618135,24.338746,3
2,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,0,33,臺中市,豐原區,0,0,0,8,3,5,60,14,7,1,5,4,5,7,1,1,1,4,4,2,13,16,3,10,1,1,B03,7,9,1,8,6,1,,16,16,1,22,8,B03,120.718539,24.236938,3
3,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,0,35,臺中市,霧峰區,0,2,0,8,3,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,16,6,2,9,1,1,C03,7,5,1,10,2,14,,6,6,1,18,8,C03,120.713019,24.078356,2
4,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,0,55,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,8,2,,,23,23,1,12,,B03,120.628928,24.145016,3
5,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,1,27,臺中市,西區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,,1,4,,B03,120.674271,24.148307,3
6,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,1,40,臺中市,大里區,0,2,0,8,3,5,50,4,2,1,5,4,5,7,2,1,1,4,5,1,13,16,2,9,1,1,C03,7,9,1,10,2,11,,16,16,1,18,8,C03,120.67936,24.114913,2
7,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,1,44,臺中市,南屯區,0,1,0,8,3,5,50,4,2,1,5,4,5,7,3,1,5,5,4,2,17,6,3,10,1,4,B03,7,9,1,8,2,15,,6,6,1,22,8,B03,120.642632,24.148797,2
8,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,2,5,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,43,,,,,B03,,,3,,1,,,43,,1,1,,B03,120.623068,24.186078,3
9,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,2,34,臺中市,大里區,0,2,0,8,3,5,50,5,1,1,5,4,5,7,1,1,5,4,5,1,12,16,2,9,1,1,C03,7,9,1,10,2,11,,16,16,1,22,8,C03,120.672244,24.1051,2
10,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,3,41,臺中市,豐原區,0,1,0,8,3,5,50,5,1,1,5,4,5,7,2,1,1,2,5,1,13,16,3,10,1,1,B03,7,11,1,8,8,1,,16,16,1,22,9,B03,120.703141,24.249459,2
11,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,4,2,臺中市,北屯區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,15,25,3,10,1,1,B03,7,9,1,8,2,1,,25,25,1,5,8,B03,120.7108,24.1823,2
12,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,4,28,臺中市,東區,0,1,0,8,3,5,50,4,2,1,5,4,5,7,4,4,10,5,5,2,17,7,2,9,1,1,C03,7,7,1,10,2,14,,7,7,1,21,8,C03,120.693593,24.14798,2
13,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,5,56,臺中市,北屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,,1,22,,B03,120.71346,24.180096,3
14,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,6,0,臺中市,太平區,0,0,0,8,,,40,,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,38,12,1,21,,B03,120.727562,24.150009,3
15,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,6,5,臺中市,潭子區,0,0,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,14,12,3,10,1,1,B12,7,2,1,8,6,3,,12,12,1,22,8,B12,120.70072,24.216181,3
16,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,6,21,臺中市,新社區,0,1,0,8,1,5,50,15,9,1,5,4,5,7,4,4,5,4,4,2,27,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,22,9,C03,120.812696,24.240048,2
17,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,6,30,臺中市,南區,0,1,0,2,1,5,50,14,9,1,5,4,5,7,4,4,1,4,5,2,29,43,2,9,1,1,C03,7,9,1,10,2,11,,43,43,1,22,8,C03,120.661429,24.121083,2
18,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,6,35,臺中市,西屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,43,,,,,C03,,,1,,1,,,43,,1,22,,C03,120.614123,24.183851,4
19,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,6,44,臺中市,梧棲區,0,3,0,6,1,5,40,3,1,1,4,4,5,7,1,1,10,5,5,2,16,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,16,1,C03,120.5467,24.245748,2
20,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,6,50,臺中市,大甲區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,,1,4,,B03,120.620836,24.350781,3
21,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,6,57,臺中市,沙鹿區,0,1,0,6,1,5,50,5,2,1,4,4,5,7,4,4,8,3,4,1,18,42,2,9,3,4,C03,7,9,1,10,2,12,,42,42,1,22,8,C03,120.554069,24.224141,2
22,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,0,臺中市,西屯區,0,1,0,6,1,5,50,3,9,1,4,4,5,7,4,4,5,4,5,2,12,17,3,10,3,4,A12,7,9,1,3,2,2,,17,17,1,22,8,A12,120.603553,24.15718,2
23,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,0,臺中市,石岡區,0,1,0,8,1,5,70,3,9,1,5,4,5,7,1,1,1,3,4,1,16,6,3,10,1,1,B03,7,5,1,8,2,5,,6,6,1,22,9,B03,120.815095,24.260848,2
24,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,7,臺中市,烏日區,0,0,0,8,,,70,,,,,,,,,,,,,,,16,,,,,C03,,,1,,2,,,16,,1,22,,C03,120.607133,24.108585,3
25,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,15,臺中市,豐原區,0,1,0,8,1,5,30,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,5,,6,6,1,22,8,B03,120.706935,24.242181,2
26,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,17,臺中市,西屯區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,9,4,5,2,12,10,3,10,1,1,B03,7,11,1,8,2,8,,10,10,1,12,8,B03,120.619483,24.180449,2
27,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,18,臺中市,梧棲區,0,1,0,6,1,5,30,4,2,1,4,4,5,7,1,1,10,5,5,2,17,25,3,10,1,1,F03,7,9,8,20,2,15,,25,25,1,9,1,F03,120.540023,24.235091,2
28,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,19,臺中市,西區,0,0,0,,,,50,,,,,,,,,,,,,,,42,,,,,B03,,,1,,1,,,42,,1,5,,B03,120.667101,24.132158,3
29,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,20,臺中市,豐原區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,,1,22,,B03,120.699252,24.235554,3
30,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,23,臺中市,北屯區,0,1,0,2,1,5,40,14,8,1,5,4,5,7,4,4,5,5,4,2,13,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,5,8,C03,120.659794,24.182682,2
31,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,23,臺中市,北屯區,0,1,0,6,1,5,40,3,1,1,4,4,5,7,4,4,10,5,5,2,18,43,2,9,1,1,C03,7,9,1,10,2,14,,43,43,1,5,8,C03,120.664525,24.184998,2
32,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,24,臺中市,神岡區,0,2,0,6,1,5,30,14,9,1,4,4,5,7,4,4,10,5,5,2,17,19,3,10,1,1,C03,7,1,1,10,9,11,,19,19,2,22,8,C03,120.670986,24.269144,2
33,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,27,臺中市,烏日區,0,1,0,8,1,5,50,3,9,1,5,4,5,7,4,4,1,4,4,2,16,9,3,10,1,1,B03,7,6,1,8,2,1,,9,9,1,21,1,B03,120.623586,24.104417,2
34,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,30,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,8,,,,,B12,,,1,,1,,,8,,1,22,,B12,120.64461,24.185105,4
35,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,30,臺中市,太平區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,C03,,,1,,2,,,16,,1,21,,C03,120.72137,24.107345,3
36,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,30,臺中市,龍井區,0,1,0,8,1,5,30,14,9,1,5,4,5,7,4,4,10,5,5,2,11,17,3,10,3,4,B03,7,9,1,8,1,4,,17,17,1,12,8,B03,120.51864,24.19887,2
37,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,30,臺中市,大肚區,0,0,0,6,,,50,,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,12,,1,4,,B03,,,3
38,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,32,臺中市,外埔區,0,1,0,6,1,5,30,11,9,1,4,4,5,1,4,4,10,5,5,1,11,23,3,10,1,1,B03,7,9,1,8,2,8,,23,23,1,5,5,B03,120.654443,24.3334,2
39,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,33,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,C03,,,1,,2,,,16,,1,22,,C03,120.668005,24.15688,3
40,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,37,臺中市,潭子區,0,1,0,7,1,5,50,3,1,1,5,4,5,7,4,4,5,4,4,2,17,6,3,10,1,1,C03,7,5,1,10,2,11,,6,6,1,22,8,C03,120.691575,24.217223,2
41,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,37,臺中市,梧棲區,0,0,0,8,,,50,,,,,,,,,,,,,,,43,,,,,B12,,,1,,1,,,43,,1,3,,B12,120.5389,24.25124,3
42,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,38,臺中市,南屯區,0,0,0,8,,,80,,,,,,,,,,,,,,,16,,,,,B03,,,3,,1,,,16,,1,22,,B03,120.620258,24.118013,3
43,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,40,臺中市,南屯區,0,2,0,6,1,5,40,14,8,1,4,4,5,7,4,4,10,5,5,2,16,6,2,9,1,1,C03,7,6,3,18,2,12,,6,6,1,22,8,C03,120.62261,24.150206,2
44,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,40,臺中市,龍井區,0,0,0,,,,60,,,,,,,,,,,,,,,42,,,,,B03,,,1,,2,,,42,,1,4,,B03,120.575222,24.1776,3
45,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,40,臺中市,大肚區,0,0,0,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,67,,1,,,,120.572001,24.155986,3
46,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,41,臺中市,西屯區,0,3,0,6,1,5,30,4,1,1,4,4,5,7,4,4,10,5,5,2,15,6,2,9,3,4,C03,7,9,1,10,2,13,,6,6,1,22,8,C03,120.667011,24.173281,2
47,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,43,臺中市,大雅區,0,1,0,6,1,5,50,14,9,1,4,4,5,7,1,1,1,4,5,1,13,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,22,9,C03,120.613416,24.2328,2
48,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,43,臺中市,西屯區,0,0,0,6,,,70,,,,,,,,,,,,,,,44,,,,,C03,,,1,,2,,,44,44,1,22,,C03,120.626644,24.177585,3
49,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,43,臺中市,西屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,10,,,,,B03,,,1,,1,,,10,,1,22,,B03,120.586365,24.16672,3
50,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,43,臺中市,太平區,0,0,0,8,,,50,,,,,,,,,,,,,,,10,,,,,B03,,,1,,1,,,10,,1,22,,B03,120.712363,24.142002,3
51,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,44,臺中市,大肚區,0,1,0,6,1,5,60,3,1,1,4,4,5,7,1,1,10,5,5,2,23,13,2,7,1,1,B03,7,5,1,8,2,1,,13,13,1,4,1,B03,120.543192,24.162773,2
52,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,45,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,A02,,,1,,2,,,16,,1,22,,A02,120.633923,24.170285,3
53,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,45,臺中市,大里區,0,1,0,7,1,5,60,4,2,1,5,4,5,7,4,4,10,5,5,2,12,26,2,7,1,1,C03,7,9,1,10,2,14,,26,26,1,20,8,C03,120.671025,24.102328,2
54,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,45,臺中市,龍井區,0,1,0,6,1,5,30,3,1,1,4,4,5,7,3,1,10,5,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,1,,6,6,1,12,8,B03,120.539854,24.176421,2
55,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,46,臺中市,西屯區,0,1,0,7,1,5,50,14,9,1,4,4,5,7,4,4,1,4,5,2,12,7,3,10,3,4,B03,7,8,1,8,2,2,,7,7,1,22,8,B03,120.662771,24.172281,2
56,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,50,臺中市,大雅區,0,1,0,6,1,5,30,3,1,1,4,4,5,7,4,4,10,5,5,2,17,1,2,7,1,1,C03,7,4,1,10,2,12,,1,1,1,22,9,C03,120.62898,24.220872,2
57,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,50,臺中市,大肚區,0,0,0,6,,,30,,,,,,,,,,,,,,,6,,,,,B03,,,1,,2,,,6,,1,21,,B03,120.539118,24.165125,3
58,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,50,臺中市,清水區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,,1,22,,B03,120.568182,24.268339,3
59,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,50,臺中市,清水區,0,1,0,7,1,5,50,14,7,1,4,4,5,7,4,4,4,5,4,2,17,42,2,9,1,1,C03,7,9,1,10,2,12,,42,42,1,5,5,C03,120.630793,24.292546,2
60,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,52,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,B03,,,1,,1,,,16,,1,5,,B03,120.646712,24.150935,3
61,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,57,臺中市,霧峰區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,12,,1,22,,B03,120.69598,24.052624,3
62,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,58,臺中市,南區,0,1,0,6,1,5,50,14,9,1,4,4,5,7,4,4,1,5,5,2,12,16,3,10,1,1,B03,7,8,1,8,2,2,1,16,16,1,4,5,B03,120.651626,24.117061,2
63,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,58,臺中市,南屯區,0,1,0,6,1,5,50,4,1,1,4,4,5,7,2,1,1,2,5,2,16,9,3,10,3,4,B03,7,6,1,8,2,5,,9,9,1,22,9,B03,120.596491,24.153245,2
64,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,7,59,臺中市,西屯區,0,1,0,6,1,5,50,4,1,1,4,4,5,7,1,1,10,5,5,2,17,43,2,9,3,4,C03,7,6,1,10,1,12,,43,43,1,22,9,C03,120.639466,24.160134,2
65,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,0,臺中市,沙鹿區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,,,,,B03,,,1,,2,,,7,,1,22,,B03,,,3
66,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,1,臺中市,南屯區,0,1,0,6,1,5,40,3,1,1,4,4,5,7,4,4,1,4,1,2,16,6,3,10,1,1,B03,7,6,1,8,2,4,,6,6,1,22,8,B03,120.613903,24.148701,2
67,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,7,臺中市,神岡區,0,0,0,6,,,50,,,,,,,,,,,,,,,16,,,,,B03,,,1,,2,,,16,,1,22,,B03,120.673143,24.253996,3
68,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,8,臺中市,西屯區,0,1,0,6,1,5,50,3,1,1,4,4,5,7,1,1,9,4,5,2,13,42,2,9,1,1,C03,7,9,1,10,2,11,,42,42,1,12,8,C03,120.653802,24.167952,2
